review_id,booking_id,customer_id,plan_name,destination_region,rating,nps,comment,comment_summary,sentiment,review_date,loaded_at
4d1a8b1e-c3c0-41ab-93bd-b09f7250601e,c8aad1de-4985-49d7-a6f6-c608ff8d60c5,71aeef77-5915-45d8-a130-4e69748fff71,沖縄4泊5日ひとり旅プラン (冬),沖縄,4,58,沖縄は本当に素晴らしかったです。スタッフの対応も丁寧で安心して楽しめました。,,positive,2026-02-03,2026-04-30 07:43:36.151178+00:00
c223ee80-2657-49a8-8e6c-55617ad0eb3d,e17c5e5e-c989-409d-9e48-1f1b009d80ca,2acd7832-0a89-421f-b595-e12116f2f1b6,北海道6泊7日ファミリープラン (秋),北海道,3,-17,良い旅行でしたが、食事のバリエーションがもう少しあると嬉しいです。,,neutral,2025-12-11,2026-04-30 07:43:36.155736+00:00
a1f3891a-a59b-4b8a-9056-e1495afc071b,bc659f55-2f88-4b14-9f85-85ad4361a2c4,545b4899-f166-4602-898b-cbdb3bb3ffda,韓国周遊4泊5日カップル向け (春),韓国,5,95,韓国のホテルが特に良かったです。また利用したい。,,positive,2024-03-21,2026-04-30 07:43:36.174699+00:00
f60f7adc-0c44-4874-8d93-ba03f02f1339,4d45a2a8-877f-45a5-920e-f1f8b82fd504,739772dc-2628-4893-a942-bfe4cd2e60fa,その他周遊3泊4日ファミリー向け (秋),その他,5,82,その他のホテルが特に良かったです。また利用したい。,,positive,2024-11-02,2026-04-30 07:43:36.205380+00:00
ef859766-6209-4fe2-987d-237d910d6352,14294bb3-d910-4733-8bbf-e211c3e4f06a,a590932d-b27d-4863-8caa-09c6b475a1a9,宮城6泊7日グループプラン (春),宮城,3,1,概ね満足ですが、移動が少し慌ただしかったです。,,neutral,2024-04-12,2026-04-30 07:43:36.210121+00:00
05d1925d-b57d-4a5b-840f-2cea497e47e8,37ec4107-c677-4626-94bf-851cb2c3fabc,15cc2342-895e-4b73-8220-3d42faed2018,京都4泊5日カップルプラン (夏休み),京都,5,96,子どもが大はしゃぎ。家族の思い出に最高のプランでした。,,positive,2025-09-13,2026-04-30 07:43:36.249820+00:00
14023f38-dd2f-4e5a-a071-005d266fdafc,356dd8a3-2ece-4d0f-a031-407c5df05413,8965b36d-93c5-4434-94df-6f21276b817c,アメリカ西海岸周遊3泊4日学生向け (夏),アメリカ西海岸,1,-99,ホテルの設備が古く、写真と少しイメージが違いました。,,negative,2025-09-05,2026-04-30 07:43:36.274051+00:00
c2aed902-669f-42cd-a354-882e9077e680,cb079d63-eaec-4691-859f-1f15a75e4447,75af3b54-a5dc-4188-8dca-7a88fab6519e,宮城4泊5日カップルプラン (秋),宮城,4,44,子どもが大はしゃぎ。家族の思い出に最高のプランでした。,,positive,2025-12-12,2026-04-30 07:43:36.279349+00:00
f4b0c362-1465-472a-9dff-8799423ee5d8,4cb34d79-03e2-4ee1-91d3-3b1f5abe47d4,a4324d63-9260-45d6-b14c-d8e8721c1422,台湾周遊2泊3日ひとり旅向け (冬),台湾,4,78,台湾は本当に素晴らしかったです。スタッフの対応も丁寧で安心して楽しめました。,,positive,2024-03-06,2026-04-30 07:43:36.286560+00:00
4c59c67d-ba44-4acf-a2a6-0f4264ab931b,becee01c-3da6-447d-a9ad-4c20bff9bedd,d370f41d-8401-4b45-849f-223217294778,沖縄3泊4日グループプラン (冬),沖縄,3,27,概ね満足ですが、移動が少し慌ただしかったです。,,neutral,2024-01-11,2026-04-30 07:43:36.295880+00:00
